time,cpu_total_pct,cores_of_work,cores_busy,ram_used_mb,ram_pct,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
10:34:56,303,3.03,1,7248,23,30,36,41,20,28,99,20,29
10:34:58,314,3.14,1,7235,23,100,36,30,31,31,28,28,30
10:35:00,332,3.32,1,7260,23,100,31,25,35,37,34,38,32
10:35:02,422,4.22,2,7511,24,39,100,92,39,44,35,35,39
10:35:04,337,3.37,1,7257,23,37,31,57,28,30,30,27,96
10:35:06,309,3.09,1,7246,23,30,32,85,18,35,25,29,54
10:35:08,317,3.17,1,7234,23,35,36,23,29,35,23,34,100
10:35:10,307,3.07,1,7251,23,29,91,20,35,32,33,27,40
10:35:12,319,3.19,1,7249,23,29,47,32,90,37,27,27,29
10:35:14,300,3.00,1,7238,23,28,27,31,45,88,26,25,30
10:35:16,352,3.52,1,7280,23,31,28,37,48,100,33,47,28
10:35:18,465,4.65,1,7425,24,35,41,55,72,76,43,97,46
10:35:20,423,4.23,2,8473,27,87,31,36,43,43,47,49,87
10:35:22,420,4.20,2,8524,27,46,86,43,29,40,39,44,93
10:35:24,415,4.15,1,8483,27,42,53,74,69,82,31,29,35
10:35:26,447,4.47,2,8852,28,38,47,37,100,65,36,41,84
10:35:28,529,5.29,1,8496,27,80,52,58,100,57,56,50,77
10:35:30,799,7.99,8,8489,27,100,100,100,100,100,100,100,100
10:35:32,799,7.99,8,8492,27,100,100,100,100,100,100,100,100
10:35:34,798,7.98,8,8495,27,100,100,100,100,100,100,99,100
10:35:36,798,7.98,8,8483,27,100,100,100,100,100,100,100,99
10:35:38,798,7.98,8,8491,27,100,100,100,100,100,100,100,100
10:35:40,800,8.00,8,8499,27,100,100,100,100,100,100,100,100
10:35:42,799,7.99,8,8497,27,100,100,100,100,100,100,100,100
10:35:44,800,8.00,8,8487,27,100,100,100,100,100,100,100,100
10:35:46,797,7.97,8,8481,27,100,99,100,99,100,100,100,100
10:35:48,799,7.99,8,8479,27,100,100,100,100,100,100,100,100
10:35:50,800,8.00,8,8490,27,100,100,100,100,100,100,100,100
10:35:52,798,7.98,8,8489,27,100,100,100,100,100,100,100,100
10:35:54,799,7.99,8,8493,27,100,100,100,100,100,100,99,100
10:35:56,797,7.97,8,8491,27,99,100,100,100,100,100,100,100
10:35:58,799,7.99,8,8481,27,100,100,100,100,100,100,100,100
10:36:00,799,7.99,8,8500,27,100,100,100,100,100,100,100,100
10:36:02,798,7.98,8,8502,27,100,100,100,100,100,99,100,100
10:36:04,799,7.99,8,8513,27,100,100,100,100,99,100,100,100
10:36:06,799,7.99,8,8503,27,100,100,100,100,100,100,100,100
10:36:08,799,7.99,8,8496,27,100,100,100,100,100,100,100,100
10:36:10,799,7.99,8,8499,27,100,100,100,100,100,100,100,100
10:36:12,799,7.99,8,8499,27,100,100,100,100,100,100,100,100
10:36:14,799,7.99,8,8495,27,99,100,100,100,100,100,100,100
10:36:16,797,7.97,8,8487,27,100,100,100,100,100,100,100,99
10:36:18,799,7.99,8,8499,27,100,100,100,100,100,100,100,100
10:36:20,798,7.98,8,8502,27,100,100,100,100,100,99,100,100
10:36:22,798,7.98,8,8500,27,100,100,99,100,100,100,100,100
10:36:24,799,7.99,8,8508,27,100,100,100,100,100,100,100,100
10:36:26,799,7.99,8,8478,27,100,100,100,100,100,100,100,100
10:36:28,798,7.98,8,8474,27,100,100,100,99,100,100,100,100
10:36:30,798,7.98,8,8480,27,100,100,100,100,100,100,100,100
10:36:32,798,7.99,8,8484,27,100,100,100,100,100,100,100,100
10:36:34,800,8.00,8,8491,27,100,100,100,100,100,100,100,100
10:36:36,797,7.97,8,8480,27,100,100,100,100,100,99,100,100
10:36:38,799,7.99,8,8483,27,99,100,100,100,100,100,100,100
10:36:40,799,7.99,8,8492,27,100,100,100,100,100,100,100,100
10:36:42,797,7.97,8,8489,27,100,100,100,100,99,99,100,100
10:36:44,799,7.99,8,8490,27,100,100,100,100,100,100,100,100
10:36:46,799,7.99,8,8504,27,100,100,100,100,100,100,100,100
10:36:48,798,7.98,8,8508,27,100,100,100,100,99,99,100,100
10:36:50,798,7.98,8,8498,27,100,100,100,100,100,100,100,100
10:36:52,798,7.98,8,8510,27,100,99,100,100,100,100,100,100
10:36:54,800,8.00,8,8517,27,100,100,100,100,100,100,100,100
10:36:56,797,7.97,8,8510,27,100,100,100,100,100,100,100,100
10:36:58,799,7.99,8,8500,27,100,100,99,100,100,100,100,100
10:37:00,798,7.98,8,8493,27,100,100,100,100,100,100,100,100
10:37:02,799,7.99,8,8503,27,100,100,100,100,100,100,100,100
10:37:04,798,7.98,8,8507,27,100,99,100,100,100,100,100,99
10:37:06,799,7.99,8,8526,27,100,100,99,100,100,100,100,100
10:37:08,799,7.99,8,8689,28,100,100,100,100,100,100,100,100
10:37:10,797,7.97,8,8508,27,100,100,100,100,99,99,100,100
10:37:12,800,8.00,8,8504,27,100,100,100,100,100,100,100,100
10:37:14,798,7.98,8,8498,27,100,100,100,100,99,100,100,100
10:37:16,797,7.97,8,8496,27,100,100,100,100,100,100,100,100
10:37:18,798,7.98,8,8503,27,100,100,100,100,100,99,99,100
10:37:20,800,8.00,8,8497,27,100,100,100,100,100,100,100,100
10:37:22,799,7.99,8,8497,27,100,100,100,100,100,100,100,100
10:37:24,798,7.98,8,8506,27,99,100,100,100,100,100,100,100
10:37:26,799,7.99,8,8512,27,100,100,100,100,100,100,100,100
10:37:28,799,7.99,8,8520,27,100,100,99,100,100,100,100,100
10:37:30,798,7.98,8,8500,27,100,100,100,100,100,100,100,100
10:37:32,799,7.99,8,8515,27,100,100,100,100,99,100,100,100
10:37:34,798,7.98,8,8507,27,100,100,100,100,100,100,99,100
10:37:36,799,7.99,8,8504,27,100,100,100,100,100,100,100,100
10:37:38,798,7.98,8,8494,27,100,100,100,100,100,100,100,99
10:37:40,799,7.99,8,8492,27,100,100,100,100,100,100,100,100
10:37:42,799,7.99,8,8510,27,100,100,100,100,100,100,100,100
10:37:44,799,7.99,8,8491,27,100,100,100,99,100,100,100,100
10:37:46,799,7.99,8,8495,27,100,100,100,100,100,100,100,100
10:37:48,799,7.99,8,8497,27,100,100,100,100,100,100,100,100
10:37:50,799,7.99,8,8489,27,100,100,100,100,100,100,100,100
10:37:52,800,8.00,8,8495,27,100,100,100,100,100,100,100,100
10:37:54,799,7.99,8,8498,27,100,100,100,100,100,100,100,100
10:37:56,799,7.99,8,8497,27,100,100,100,100,100,100,100,100
10:37:58,799,7.99,8,8500,27,100,100,100,100,100,100,100,100
10:38:00,797,7.97,8,8500,27,100,100,100,99,100,100,100,100
10:38:02,798,7.98,8,8505,27,100,100,100,100,100,100,99,100
10:38:04,799,7.99,8,8500,27,100,100,100,100,100,100,100,100
10:38:06,797,7.97,8,8502,27,100,100,100,99,100,100,100,100
10:38:08,798,7.98,8,8491,27,99,100,100,100,100,100,100,100
10:38:10,799,7.99,8,8515,27,100,100,100,100,100,100,100,100
10:38:12,800,8.00,8,8502,27,100,100,100,100,100,100,100,100
10:38:14,797,7.97,8,8497,27,100,100,99,100,100,100,100,100
