nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 09:33:43      323   ( 3.2 cores)    1/8         7113      23%
>> 09:33:45      323   ( 3.2 cores)    0/8         7133      23%
>> 09:33:47      321   ( 3.2 cores)    0/8         7133      23%
>> 09:33:49      304   ( 3.0 cores)    0/8         7143      23%
>> 09:33:51      333   ( 3.3 cores)    0/8         7131      23%
>> 09:33:53      310   ( 3.1 cores)    0/8         7131      23%
>> 09:33:55      309   ( 3.1 cores)    1/8         7139      23%
>> 09:33:57      305   ( 3.1 cores)    0/8         7136      23%
>> 09:33:59      312   ( 3.1 cores)    0/8         7141      23%
>> 09:34:01      327   ( 3.3 cores)    0/8         7136      23%
>> 09:34:03      303   ( 3.0 cores)    1/8         7140      23%
>> 09:34:05      302   ( 3.0 cores)    0/8         7152      23%
>> 09:34:07      309   ( 3.1 cores)    0/8         7138      23%
>> 09:34:09      322   ( 3.2 cores)    1/8         7143      23%
>> 09:34:11      307   ( 3.1 cores)    1/8         7151      23%
>> 09:34:13      339   ( 3.4 cores)    0/8         7151      23%
>> 09:34:15      308   ( 3.1 cores)    0/8         7160      23%
>> 09:34:17      319   ( 3.2 cores)    1/8         7138      23%
>> 09:34:19      305   ( 3.1 cores)    0/8         7145      23%
>> 09:34:21      307   ( 3.1 cores)    0/8         7143      23%
>> 09:34:23      393   ( 3.9 cores)    0/8         7138      23%
>> 09:34:25      314   ( 3.1 cores)    0/8         7158      23%
>> 09:34:27      317   ( 3.2 cores)    0/8         7148      23%
>> 09:34:29      317   ( 3.2 cores)    0/8         7148      23%
>> 09:34:31      313   ( 3.1 cores)    1/8         7148      23%
>> 09:34:33      387   ( 3.9 cores)    1/8         7136      23%
>> 09:34:35      312   ( 3.1 cores)    1/8         7142      23%
>> 09:34:37      456   ( 4.6 cores)    2/8         7418      24%
>> 09:34:39      340   ( 3.4 cores)    0/8         7139      23%
>> 09:34:41      307   ( 3.1 cores)    0/8         7147      23%
>> 09:34:43      334   ( 3.3 cores)    0/8         7141      23%
>> 09:34:45      307   ( 3.1 cores)    1/8         7147      23%
>> 09:34:47      304   ( 3.0 cores)    0/8         7139      23%
>> 09:34:49      310   ( 3.1 cores)    1/8         7145      23%
>> 09:34:51      310   ( 3.1 cores)    1/8         7154      23%
>> 09:34:53      317   ( 3.2 cores)    0/8         7132      23%
>> 09:34:55      312   ( 3.1 cores)    0/8         7144      23%
>> 09:34:57      311   ( 3.1 cores)    1/8         7123      23%
>> 09:34:59      304   ( 3.0 cores)    1/8         7133      23%
>> 09:35:01      306   ( 3.1 cores)    1/8         7133      23%
>> 09:35:03      336   ( 3.4 cores)    1/8         7150      23%
>> 09:35:05      297   ( 3.0 cores)    0/8         7145      23%
>> 09:35:07      313   ( 3.1 cores)    0/8         7126      23%
>> 09:35:09      347   ( 3.5 cores)    1/8         7128      23%
>> 09:35:11      314   ( 3.1 cores)    1/8         7138      23%
>> 09:35:13      326   ( 3.3 cores)    0/8         7130      23%
>> 09:35:15      312   ( 3.1 cores)    0/8         7138      23%
>> 09:35:17      319   ( 3.2 cores)    0/8         7136      23%
>> 09:35:19      314   ( 3.1 cores)    1/8         7137      23%
>> 09:35:21      309   ( 3.1 cores)    1/8         7134      23%
>> 09:35:23      313   ( 3.1 cores)    0/8         7145      23%
>> 09:35:25      310   ( 3.1 cores)    0/8         7143      23%
>> 09:35:27      310   ( 3.1 cores)    0/8         7147      23%
>> 09:35:29      312   ( 3.1 cores)    0/8         7132      23%
>> 09:35:31      309   ( 3.1 cores)    0/8         7142      23%
>> 09:35:33      321   ( 3.2 cores)    1/8         7129      23%
>> 09:35:35      308   ( 3.1 cores)    0/8         7134      23%
>> 09:35:37      334   ( 3.3 cores)    0/8         7131      23%
>> 09:35:39      413   ( 4.1 cores)    1/8         7343      23%
>> 09:35:41      356   ( 3.6 cores)    0/8         7142      23%
>> 09:35:43      350   ( 3.5 cores)    1/8         7145      23%
>> 09:35:45      313   ( 3.1 cores)    0/8         7146      23%
>> 09:35:47      315   ( 3.2 cores)    1/8         7150      23%
>> 09:35:49      313   ( 3.1 cores)    0/8         7140      23%
>> 09:35:51      309   ( 3.1 cores)    0/8         7145      23%
>> 09:35:53      320   ( 3.2 cores)    1/8         7125      23%
>> 09:35:55      300   ( 3.0 cores)    1/8         7126      23%
>> 09:35:57      304   ( 3.0 cores)    1/8         7135      23%
>> 09:35:59      321   ( 3.2 cores)    0/8         7138      23%
>> 09:36:01      338   ( 3.4 cores)    0/8         7143      23%
>> 09:36:03      323   ( 3.2 cores)    0/8         7129      23%
>> 09:36:05      305   ( 3.0 cores)    0/8         7142      23%
>> 09:36:07      299   ( 3.0 cores)    1/8         7141      23%
>> 09:36:09      313   ( 3.1 cores)    1/8         7142      23%
>> 09:36:11      308   ( 3.1 cores)    0/8         7153      23%
>> 09:36:13      321   ( 3.2 cores)    1/8         7140      23%
>> 09:36:15      319   ( 3.2 cores)    1/8         7139      23%
>> 09:36:17      307   ( 3.1 cores)    0/8         7152      23%
>> 09:36:19      315   ( 3.1 cores)    0/8         7147      23%
>> 09:36:21      311   ( 3.1 cores)    1/8         7157      23%
>> 09:36:23      317   ( 3.2 cores)    1/8         7137      23%
>> 09:36:25      321   ( 3.2 cores)    1/8         7148      23%
>> 09:36:27      330   ( 3.3 cores)    0/8         7152      23%
>> 09:36:29      347   ( 3.5 cores)    0/8         7135      23%
>> 09:36:31      317   ( 3.2 cores)    0/8         7152      23%
>> 09:36:33      320   ( 3.2 cores)    0/8         7128      23%
>> 09:36:35      304   ( 3.0 cores)    0/8         7152      23%
>> 09:36:37      329   ( 3.3 cores)    0/8         7137      23%
>> 09:36:39      312   ( 3.1 cores)    0/8         7120      23%
>> 09:36:41      386   ( 3.9 cores)    0/8         7261      23%
>> 09:36:43      382   ( 3.8 cores)    0/8         7154      23%
>> 09:36:45      333   ( 3.3 cores)    1/8         7143      23%
>> 09:36:47      324   ( 3.2 cores)    0/8         7154      23%
>> 09:36:49      308   ( 3.1 cores)    1/8         7140      23%
>> 09:36:51      316   ( 3.2 cores)    1/8         7134      23%
>> 09:36:53      326   ( 3.3 cores)    0/8         7158      23%
>> 09:36:55      314   ( 3.1 cores)    0/8         7151      23%
>> 09:36:57      307   ( 3.1 cores)    0/8         7162      23%
>> 09:36:59      314   ( 3.1 cores)    0/8         7137      23%
>> 09:37:01      317   ( 3.2 cores)    0/8         7148      23%
>> 09:37:03      311   ( 3.1 cores)    0/8         7154      23%
>> 09:37:05      323   ( 3.2 cores)    0/8         7123      23%
>> 09:37:07      300   ( 3.0 cores)    0/8         7141      23%
>> 09:37:09      319   ( 3.2 cores)    0/8         7138      23%
>> 09:37:11      313   ( 3.1 cores)    0/8         7141      23%
>> 09:37:13      298   ( 3.0 cores)    0/8         7147      23%
>> 09:37:15      367   ( 3.7 cores)    0/8         7126      23%
>> 09:37:17      312   ( 3.1 cores)    0/8         7137      23%
>> 09:37:19      315   ( 3.1 cores)    1/8         7137      23%
>> 09:37:21      310   ( 3.1 cores)    0/8         7137      23%
>> 09:37:23      309   ( 3.1 cores)    0/8         7137      23%
>> 09:37:25      317   ( 3.2 cores)    0/8         7133      23%
>> 09:37:27      320   ( 3.2 cores)    0/8         7130      23%
>> 09:37:29      313   ( 3.1 cores)    0/8         7135      23%
>> 09:37:31      308   ( 3.1 cores)    1/8         7138      23%
>> 09:37:33      304   ( 3.0 cores)    0/8         7144      23%
>> 09:37:35      320   ( 3.2 cores)    1/8         7146      23%
>> 09:37:37      329   ( 3.3 cores)    0/8         7133      23%
>> 09:37:39      354   ( 3.5 cores)    1/8         7121      23%
>> 09:37:41      309   ( 3.1 cores)    0/8         7128      23%
>> 09:37:43      372   ( 3.7 cores)    0/8         7158      23%
>> 09:37:45      418   ( 4.2 cores)    2/8         7150      23%
>> 09:37:47      305   ( 3.0 cores)    0/8         7151      23%
>> 09:37:49      307   ( 3.1 cores)    0/8         7146      23%
>> 09:37:51      307   ( 3.1 cores)    1/8         7142      23%
>> 09:37:53      304   ( 3.0 cores)    0/8         7149      23%
>> 09:37:55      310   ( 3.1 cores)    1/8         7131      23%
>> 09:37:57      313   ( 3.1 cores)    0/8         7148      23%
>> 09:37:59      303   ( 3.0 cores)    0/8         7149      23%
>> 09:38:01      310   ( 3.1 cores)    0/8         7139      23%
>> 09:38:03      309   ( 3.1 cores)    0/8         7154      23%
>> 09:38:05      321   ( 3.2 cores)    1/8         7144      23%
>> 09:38:07      306   ( 3.1 cores)    0/8         7146      23%
>> 09:38:09      305   ( 3.0 cores)    0/8         7152      23%
>> 09:38:11      309   ( 3.1 cores)    0/8         7152      23%
>> 09:38:13      311   ( 3.1 cores)    0/8         7196      23%
>> 09:38:15      391   ( 3.9 cores)    1/8         7135      23%
>> 09:38:17      304   ( 3.0 cores)    1/8         7144      23%
>> 09:38:19      304   ( 3.0 cores)    0/8         7162      23%
>> 09:38:21      318   ( 3.2 cores)    0/8         7168      23%
